gk,jenis_MAKANAN,daerah_PERKOTAAN,provinsi_JAWA TIMUR,periode_SEPTEMBER,Cluster,jenis_original,daerah_original,provinsi_original,periode_original,gk_original
-0.48939549497463686,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,229289.0
-0.439005088735433,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,236638.0
-0.4267520398921268,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,238425.0
-0.33979447669637447,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,251107.0
-0.2962676977051558,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,257455.0
-0.24351170565121177,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,265149.0
-0.31903903246095877,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,254134.0
-0.2748471467334218,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,260579.0
-0.22379849052837722,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,268024.0
-0.17144704793260615,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,275659.0
-0.36312806663133307,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,247704.0
-0.3005806063355081,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,256826.0
-0.2535157337778955,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,263690.0
-0.20202824426229038,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,271199.0
-0.16286922806524406,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,276910.0
-0.0998897912293361,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,286095.0
-0.016422324206635225,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,298268.0
0.10638929181600466,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,316179.0
-0.1347358987960301,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,281013.0
-0.08294671137941464,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,288566.0
-0.002084817138166687,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,300359.0
0.11140844780554028,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,316911.0
-0.1468929528526512,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,279240.0
-0.09048230213419557,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,287467.0
-0.00843418660033879,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,299433.0
0.10925542187560287,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,316597.0
-1.490208342517561,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,-1.0,9,NONMAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,83329.20000000001
